Run,Months,Total_Invested_USD,Final_Portfolio_USD,Profit_USD,Multiple,CAGR,Annual_Vol,Sharpe,Sortino,Max_Drawdown,Calmar,Win_Rate,Avg_Monthly_Turnover,Max_Underwater_Months,Final_NAV_Multiple,Strategy,Mode,Display
K=3 / K=4 / K=5 (same),437,4370000.0,50767365.26791425,46397365.26791425,11.61724605673095,0.11170766228882512,0.14726321348852828,0.7585578206707209,1.3119123868685127,-0.5094876777779151,0.2192548851741186,0.6613272311212814,0.002288329519450801,73,47.29598918125296,buy_and_hold,baseline,B0 — SPXT buy & hold
K=3 / K=4 / K=5 (same),437,4370000.0,16947973.111061007,12577973.111061007,3.878254716489933,0.07051687399269646,0.07828330335307919,0.9007907302358716,1.5234827946686567,-0.33132289355604483,0.2128342935673662,0.6636155606407322,0.002288329519450801,39,11.95906572753724,buy_and_hold_ew_three,baseline,B1 — EW3 buy & hold (SPXT / LUATTRUU / BCOMTR)
B0 — SPXT B&H,437,4370000.0,50767365.26791425,46397365.26791425,11.61724605673095,0.11170766228882512,0.14726321348852828,0.7585578206707209,1.3119123868685127,-0.5094876777779151,0.2192548851741186,0.6613272311212814,0.002288329519450801,73,47.29598918125296,risk_on_off,hard,B0 — SPXT B&H | risk on off (hard)
B1 — EW3 B&H,437,4370000.0,16947973.111061007,12577973.111061007,3.878254716489933,0.07051687399269646,0.07828330335307919,0.9007907302358716,1.5234827946686567,-0.33132289355604483,0.2128342935673662,0.6636155606407322,0.002288329519450801,39,11.95906572753724,risk_on_off,hard,B1 — EW3 B&H | risk on off (hard)
K=3 hard,437,4370000.0,15592012.207504665,11222012.207504665,3.567966180207017,0.06593726153366242,0.11054966352130786,0.5964492286396996,1.013479742037186,-0.3747070227393713,0.1759701781183997,0.41876430205949655,0.13501144164759726,216,10.230433414716655,risk_on_off,hard,K=3 hard | risk on off (hard)
K=4 hard,437,4370000.0,17514152.9665743,13144152.9665743,4.007815324158878,0.06874553305813014,0.11882531310862122,0.5785428311498587,0.9656219393233442,-0.40471158629272186,0.1698630219309005,0.43707093821510296,0.23569794050343248,176,11.25916582932125,risk_on_off,hard,K=4 hard | risk on off (hard)
K=5 hard,437,4370000.0,26061140.55840243,21691140.55840243,5.963647725034881,0.08466987743493815,0.11270760107407797,0.7512348468785898,1.3141791129247662,-0.28270208305213607,0.2995021349712633,0.5034324942791762,0.11899313501144165,50,19.293907189307305,risk_on_off,hard,K=5 hard | risk on off (hard)
B0 — SPXT B&H,437,4370000.0,50767365.26791425,46397365.26791425,11.61724605673095,0.11170766228882512,0.14726321348852828,0.7585578206707209,1.3119123868685127,-0.5094876777779151,0.2192548851741186,0.6613272311212814,0.002288329519450801,73,47.29598918125296,risk_on_off,soft,B0 — SPXT B&H | risk on off (soft)
B1 — EW3 B&H,437,4370000.0,16947973.111061007,12577973.111061007,3.878254716489933,0.07051687399269646,0.07828330335307919,0.9007907302358716,1.5234827946686567,-0.33132289355604483,0.2128342935673662,0.6636155606407322,0.002288329519450801,39,11.95906572753724,risk_on_off,soft,B1 — EW3 B&H | risk on off (soft)
K=3 soft,437,4370000.0,15210307.243342776,10840307.243342776,3.4806195064857612,0.06447407575612085,0.10596301530584741,0.6084582962274663,1.036828806634399,-0.3803617624334451,0.16950724842485287,0.6521739130434783,0.11468198198304173,228,9.73126936002718,risk_on_off,soft,K=3 soft | risk on off (soft)
K=4 soft,437,4370000.0,18634414.29078045,14264414.290780451,4.264168029926877,0.07118231500016203,0.11564280219844089,0.6155360614490689,1.0289223480178114,-0.4085989979074437,0.17421069401713593,0.6521739130434783,0.19444781455267757,176,12.232782754189914,risk_on_off,soft,K=4 soft | risk on off (soft)
K=5 soft,437,4370000.0,28491439.700236335,24121439.700236335,6.519780251770328,0.08738124723925256,0.10787007650802036,0.8100601211009207,1.4276998270446704,-0.3742599046641266,0.2334774474911263,0.6590389016018307,0.1174604992219927,73,21.130282464602825,risk_on_off,soft,K=5 soft | risk on off (soft)
B0 — SPXT B&H,437,4370000.0,50767365.26791425,46397365.26791425,11.61724605673095,0.11170766228882512,0.14726321348852828,0.7585578206707209,1.3119123868685127,-0.5094876777779151,0.2192548851741186,0.6613272311212814,0.002288329519450801,73,47.29598918125296,safe_haven,hard,B0 — SPXT B&H | safe haven (hard)
B1 — EW3 B&H,437,4370000.0,16947973.111061007,12577973.111061007,3.878254716489933,0.07051687399269646,0.07828330335307919,0.9007907302358716,1.5234827946686567,-0.33132289355604483,0.2128342935673662,0.6636155606407322,0.002288329519450801,39,11.95906572753724,safe_haven,hard,B1 — EW3 B&H | safe haven (hard)
K=3 hard,437,4370000.0,23891397.97999156,19521397.97999156,5.467139125856192,0.08680945256146333,0.11325475410887459,0.7664972057421207,1.3436340723645421,-0.3524861109572346,0.24627765424775983,0.6224256292906178,0.2700228832951945,50,20.729392440842553,safe_haven,hard,K=3 hard | safe haven (hard)
K=4 hard,437,4370000.0,25836796.325440437,21466796.325440437,5.912310371954334,0.08531733032956113,0.12141559863836102,0.7026883801288222,1.1946060019854705,-0.3801823130936399,0.22441162408454082,0.6361556064073226,0.47139588100686497,84,19.717773379240995,safe_haven,hard,K=4 hard | safe haven (hard)
K=5 hard,437,4370000.0,33308570.616892118,28938570.616892118,7.622098539334581,0.0975632351493152,0.11522546415690023,0.8467159222415045,1.5056410906872801,-0.24329002443610082,0.40101617555198943,0.6544622425629291,0.2379862700228833,41,29.6694494177241,safe_haven,hard,K=5 hard | safe haven (hard)
B0 — SPXT B&H,437,4370000.0,50767365.26791425,46397365.26791425,11.61724605673095,0.11170766228882512,0.14726321348852828,0.7585578206707209,1.3119123868685127,-0.5094876777779151,0.2192548851741186,0.6613272311212814,0.002288329519450801,73,47.29598918125296,safe_haven,soft,B0 — SPXT B&H | safe haven (soft)
B1 — EW3 B&H,437,4370000.0,16947973.111061007,12577973.111061007,3.878254716489933,0.07051687399269646,0.07828330335307919,0.9007907302358716,1.5234827946686567,-0.33132289355604483,0.2128342935673662,0.6636155606407322,0.002288329519450801,39,11.95906572753724,safe_haven,soft,B1 — EW3 B&H | safe haven (soft)
K=3 soft,437,4370000.0,23069810.067842264,18699810.067842264,5.279132738636673,0.0849590683150252,0.10849403920121438,0.7830759085064486,1.379137736800793,-0.35663909525229487,0.23822141051284115,0.6384439359267735,0.22936396396608347,71,19.482124372470707,safe_haven,soft,K=3 soft | safe haven (soft)
K=4 soft,437,4370000.0,26267366.33917643,21897366.33917643,6.010838979216575,0.08640014156055709,0.11813334262291605,0.7313781159680551,1.2380790275911864,-0.3859587346327238,0.22385849524243825,0.6521739130434783,0.38889562910535513,89,20.446973897664108,safe_haven,soft,K=4 soft | safe haven (soft)
K=5 soft,437,4370000.0,35260062.34423225,30890062.344232246,8.068664151998226,0.09856864165293433,0.1086084098370356,0.9075599375852597,1.6277372877189324,-0.3243829607322538,0.3038650409701792,0.665903890160183,0.2349209984439854,62,30.675416070774087,safe_haven,soft,K=5 soft | safe haven (soft)
B0 — SPXT B&H,437,4370000.0,50767365.26791425,46397365.26791425,11.61724605673095,0.11170766228882512,0.14726321348852828,0.7585578206707209,1.3119123868685127,-0.5094876777779151,0.2192548851741186,0.6613272311212814,0.002288329519450801,73,47.29598918125296,all_weather,hard,B0 — SPXT B&H | all weather (hard)
B1 — EW3 B&H,437,4370000.0,16947973.111061007,12577973.111061007,3.878254716489933,0.07051687399269646,0.07828330335307919,0.9007907302358716,1.5234827946686567,-0.33132289355604483,0.2128342935673662,0.6636155606407322,0.002288329519450801,39,11.95906572753724,all_weather,hard,B1 — EW3 B&H | all weather (hard)
K=3 hard,437,4370000.0,19996034.186421685,15626034.186421685,4.575751530073612,0.08216694825579118,0.12453343792071461,0.6597982809091286,1.090338189887894,-0.4000650873154997,0.20538395091444858,0.620137299771167,0.2402745995423341,110,17.73710901021865,all_weather,hard,K=3 hard | all weather (hard)
K=4 hard,437,4370000.0,30151268.16749386,25781268.16749386,6.899603699655346,0.09524426635933869,0.12229939728099075,0.7787795236677156,1.368999823421635,-0.3801823130936399,0.2505226126494732,0.6384439359267735,0.5331807780320366,74,27.469989344058714,all_weather,hard,K=4 hard | all weather (hard)
K=5 hard,437,4370000.0,29338764.057021584,24968764.057021584,6.713675985588464,0.09521884055010488,0.1165146259261755,0.817226505198036,1.4605970171750262,-0.2352787980949762,0.4047064220026634,0.6453089244851259,0.2906178489702517,45,27.44677566623803,all_weather,hard,K=5 hard | all weather (hard)
B0 — SPXT B&H,437,4370000.0,50767365.26791425,46397365.26791425,11.61724605673095,0.11170766228882512,0.14726321348852828,0.7585578206707209,1.3119123868685127,-0.5094876777779151,0.2192548851741186,0.6613272311212814,0.002288329519450801,73,47.29598918125296,all_weather,soft,B0 — SPXT B&H | all weather (soft)
B1 — EW3 B&H,437,4370000.0,16947973.111061007,12577973.111061007,3.878254716489933,0.07051687399269646,0.07828330335307919,0.9007907302358716,1.5234827946686567,-0.33132289355604483,0.2128342935673662,0.6636155606407322,0.002288329519450801,39,11.95906572753724,all_weather,soft,B1 — EW3 B&H | all weather (soft)
K=3 soft,437,4370000.0,19756521.929726973,15386521.929726973,4.5209432333471335,0.0811956628226409,0.11985261511522559,0.6774625880676852,1.1231540953840269,-0.40302436513024154,0.20146589101728793,0.6338672768878718,0.20443405413593105,110,17.166486051945768,all_weather,soft,K=3 soft | all weather (soft)
K=4 soft,437,4370000.0,29595636.148257133,25225636.148257133,6.7724567844982,0.09364008199315998,0.11723457324337375,0.7987411853222458,1.389827274181247,-0.3859595196605743,0.24261632949359613,0.6498855835240275,0.4396232764718172,86,26.042144868388586,all_weather,soft,K=4 soft | all weather (soft)
K=5 soft,437,4370000.0,21541475.15627049,17171475.15627049,4.929399349260981,0.08228456689292551,0.09558886743196485,0.8608174686397594,1.5091669255213336,-0.21307183224997295,0.3861822842748655,0.6521739130434783,0.4460571284770886,39,17.807448792729367,all_weather,soft,K=5 soft | all weather (soft)
B0 — SPXT B&H,437,4370000.0,50767365.26791425,46397365.26791425,11.61724605673095,0.11170766228882512,0.14726321348852828,0.7585578206707209,1.3119123868685127,-0.5094876777779151,0.2192548851741186,0.6613272311212814,0.002288329519450801,73,47.29598918125296,inverse_vol,hard,B0 — SPXT B&H | inverse vol (hard)
B1 — EW3 B&H,437,4370000.0,16947973.111061007,12577973.111061007,3.878254716489933,0.07051687399269646,0.07828330335307919,0.9007907302358716,1.5234827946686567,-0.33132289355604483,0.2128342935673662,0.6636155606407322,0.002288329519450801,39,11.95906572753724,inverse_vol,hard,B1 — EW3 B&H | inverse vol (hard)
K=3 hard,437,4370000.0,21628755.85411091,17258755.85411091,4.949372048995632,0.07757649385963705,0.1120174438357062,0.6925394046075268,1.1956755184808778,-0.3852464121375877,0.20136850445717122,0.6590389016018307,0.10526315789473684,170,15.193295175249037,inverse_vol,hard,K=3 hard | inverse vol (hard)
K=4 hard,437,4370000.0,29887138.90956953,25517138.90956953,6.839162221869458,0.090479747295102,0.12218209334666327,0.7405319782694078,1.2817669590810563,-0.42595160979242674,0.2124179019752837,0.6613272311212814,0.15102974828375287,125,23.437309279242058,inverse_vol,hard,K=4 hard | inverse vol (hard)
K=5 hard,437,4370000.0,30510265.19688121,26140265.19688121,6.981754049629568,0.0917491830573689,0.11207204449523243,0.8186625261509521,1.4331389655843862,-0.3254528289743841,0.281912384496711,0.6590389016018307,0.09038901601830664,64,24.45164341285967,inverse_vol,hard,K=5 hard | inverse vol (hard)
B0 — SPXT B&H,437,4370000.0,50767365.26791425,46397365.26791425,11.61724605673095,0.11170766228882512,0.14726321348852828,0.7585578206707209,1.3119123868685127,-0.5094876777779151,0.2192548851741186,0.6613272311212814,0.002288329519450801,73,47.29598918125296,inverse_vol,soft,B0 — SPXT B&H | inverse vol (soft)
B1 — EW3 B&H,437,4370000.0,16947973.111061007,12577973.111061007,3.878254716489933,0.07051687399269646,0.07828330335307919,0.9007907302358716,1.5234827946686567,-0.33132289355604483,0.2128342935673662,0.6636155606407322,0.002288329519450801,39,11.95906572753724,inverse_vol,soft,B1 — EW3 B&H | inverse vol (soft)
K=3 soft,437,4370000.0,21051199.270642918,16681199.270642918,4.817208071085336,0.07616598593058566,0.10904812139366594,0.6984621555801488,1.2092678557172203,-0.38991947378171976,0.1953377326653452,0.6613272311212814,0.08944647149103732,195,14.485598131839536,inverse_vol,soft,K=3 soft | inverse vol (soft)
K=4 soft,437,4370000.0,31418836.887028344,27048836.887028344,7.1896651915396665,0.09212504449822889,0.1213368414554433,0.7592503924874177,1.320005116497438,-0.42798700246998944,0.21525196785546946,0.6613272311212814,0.11974458534171614,127,24.76007810263647,inverse_vol,soft,K=4 soft | inverse vol (soft)
K=5 soft,437,4370000.0,30877484.628966384,26507484.628966384,7.065785956285214,0.0912353051979371,0.11148424340456002,0.8183695059655876,1.4309343489658461,-0.37497629054653736,0.24330953049047274,0.6590389016018307,0.08848839711724775,73,24.03599146702376,inverse_vol,soft,K=5 soft | inverse vol (soft)
B0 — SPXT B&H,437,4370000.0,50767365.26791425,46397365.26791425,11.61724605673095,0.11170766228882512,0.14726321348852828,0.7585578206707209,1.3119123868685127,-0.5094876777779151,0.2192548851741186,0.6613272311212814,0.002288329519450801,73,47.29598918125296,defensive_safe_haven,hard,B0 — SPXT B&H | defensive safe haven (hard)
B1 — EW3 B&H,437,4370000.0,16947973.111061007,12577973.111061007,3.878254716489933,0.07051687399269646,0.07828330335307919,0.9007907302358716,1.5234827946686567,-0.33132289355604483,0.2128342935673662,0.6636155606407322,0.002288329519450801,39,11.95906572753724,defensive_safe_haven,hard,B1 — EW3 B&H | defensive safe haven (hard)
K=3 hard,437,4370000.0,23891397.97999156,19521397.97999156,5.467139125856192,0.08680945256146333,0.11325475410887459,0.7664972057421207,1.3436340723645421,-0.3524861109572346,0.24627765424775983,0.6224256292906178,0.2700228832951945,50,20.729392440842553,defensive_safe_haven,hard,K=3 hard | defensive safe haven (hard)
K=4 hard,437,4370000.0,20208764.860967427,15838764.860967427,4.624431318299182,0.07707845705886807,0.09211547460128854,0.8367590504472077,1.4937132805162805,-0.25404762616427967,0.30340160316642895,0.6338672768878718,0.3462242562929062,52,14.939656590610262,defensive_safe_haven,hard,K=4 hard | defensive safe haven (hard)
K=5 hard,437,4370000.0,20432010.911099978,16062010.911099978,4.675517370961093,0.08044028662386782,0.09422375409747134,0.8537155772912106,1.4677536284442763,-0.22505802336382685,0.3574202128925159,0.6590389016018307,0.22517162471395882,42,16.735088793178775,defensive_safe_haven,hard,K=5 hard | defensive safe haven (hard)
B0 — SPXT B&H,437,4370000.0,50767365.26791425,46397365.26791425,11.61724605673095,0.11170766228882512,0.14726321348852828,0.7585578206707209,1.3119123868685127,-0.5094876777779151,0.2192548851741186,0.6613272311212814,0.002288329519450801,73,47.29598918125296,defensive_safe_haven,soft,B0 — SPXT B&H | defensive safe haven (soft)
B1 — EW3 B&H,437,4370000.0,16947973.111061007,12577973.111061007,3.878254716489933,0.07051687399269646,0.07828330335307919,0.9007907302358716,1.5234827946686567,-0.33132289355604483,0.2128342935673662,0.6636155606407322,0.002288329519450801,39,11.95906572753724,defensive_safe_haven,soft,B1 — EW3 B&H | defensive safe haven (soft)
K=3 soft,437,4370000.0,23069810.067842264,18699810.067842264,5.279132738636673,0.0849590683150252,0.10849403920121438,0.7830759085064486,1.379137736800793,-0.35663909525229487,0.23822141051284115,0.6384439359267735,0.22936396396608347,71,19.482124372470707,defensive_safe_haven,soft,K=3 soft | defensive safe haven (soft)
K=4 soft,437,4370000.0,20487944.270117506,16117944.270117506,4.6883167666172785,0.07772161334480443,0.0896786114467246,0.8666683403207747,1.5412448614547456,-0.2595158903784117,0.2994869147761051,0.6521739130434783,0.2833653579931543,74,15.267985760892318,defensive_safe_haven,soft,K=4 soft | defensive safe haven (soft)
